config,workload,concurrency,ttft_ms_avg,ttft_ms_p50,ttft_ms_p95,ttft_ms_p99,tpot_ms_avg,tpot_ms_p50,tpot_ms_p95,tpot_ms_p99,e2e_ms_avg,e2e_ms_p50,e2e_ms_p95,e2e_ms_p99,out_tok_per_s_avg,req_per_s_avg
fp16,batch_summarization,2,499.18242125,537.28392,740.0178527999999,809.0361950699998,28.821755149999998,29.4673025,31.064542499999998,31.545628609999998,7638.177715225,7636.3995925,9955.4267155,10338.067178399999,62.10533919439617,0.24941903290922157
fp16,batch_summarization,4,525.863896575,552.325369,792.0805073499998,997.896046439998,32.645609449999995,32.883921,35.50071125,36.210696009999985,8635.514894587499,8462.684564,11687.691311899998,13412.70728099999,106.86287420140901,0.4284369016794989
fp16,batch_summarization,8,582.5611117374999,577.409661,1044.4484955,1216.26387506,39.93555986249999,40.387336,45.683622299999996,47.034924159999996,10515.52073206875,10719.5814395,14503.11271725,16390.239696529996,172.2862296591681,0.6893344856202179
fp16,batch_summarization,16,4913.85508290625,5083.5377045,8156.2171724,9720.4737815,49.48470023125,49.801635,56.8503945,60.937886739999996,17152.2290125625,17136.0625245,22534.75789615,25490.29587066,216.39828667702153,0.8693421848803827
fp16,interactive,1,74.56888805,79.7902225,89.34464125000001,106.63014584999996,26.12709525,26.787899,26.87266425,26.886864850000002,3394.3501512499997,3349.417067,4935.6884319,5646.795882379999,37.78088857139965,0.2945878251181259
fp16,interactive,2,97.675959775,82.94367,135.39763369999994,157.35421962,26.880332725,27.577923,28.06123105,28.10532845,3718.151228725,3685.8885495,5308.532309649999,5957.576829899999,66.31345125489959,0.4895788206341794
fp16,interactive,4,105.46266928749999,86.349622,158.4839599,214.73841843,27.263634899999996,28.117971999999998,29.415713999999998,29.87223937,3609.2911747125,3596.0125854999997,4975.91693875,5860.132936739998,129.19988530215304,0.9972012372573316
fp16,interactive,8,135.3164503,133.558751,194.9781947,221.74183888999997,29.654531137499998,30.348504,31.606536249999998,32.201771269999995,3987.43520320625,3980.3812989999997,5490.72514335,6423.975555929999,229.08022448761014,1.7499563579860407
fp16,interactive,16,138.95687221562497,139.404919,216.48973485,256.15780877,33.028867290624994,34.017475499999996,36.3584837,37.217189399999995,4422.618941678125,4400.4922095,6216.1981713,7244.97062937,427.5725923852173,3.276026087950905
fp16,interactive,32,4386.033731681249,4623.355815,5436.01322805,5828.55125625,33.40611704375,34.613071999999995,35.8931574,36.40638128,8735.984854739063,8895.1093595,10920.79912975,11865.027214470001,457.7043471980195,3.487686417510804
